sales_bedrooms,sales_month_year,sales_price,sales_zipcode,rent_bedrooms,rent_month_year,rent_zipcode,rent_inventory,rent_avg_price
5,31-03-2022,440183.56,99508,3,01-11-2019,99508,17,1443
5,31-03-2022,440183.56,99508,3,01-12-2019,99508,13,1402
5,31-03-2022,440183.56,99508,3,01-01-2020,99508,13,1452
5,31-03-2022,440183.56,99508,3,01-02-2020,99508,18,1555
5,31-03-2022,440183.56,99508,3,01-03-2020,99508,13,1669
5,31-03-2022,440183.56,99508,3,01-04-2020,99508,17,1613
5,31-03-2022,440183.56,99508,3,01-05-2020,99508,14,1513
5,31-03-2022,440183.56,99508,3,01-06-2020,99508,17,1411
5,31-03-2022,440183.56,99508,3,01-07-2020,99508,16,1373
5,31-03-2022,440183.56,99508,3,01-08-2020,99508,8,1348
5,31-03-2022,440183.56,99508,3,01-09-2020,99508,11,1622
5,31-03-2022,440183.56,99508,3,01-10-2020,99508,14,1582
5,31-03-2022,440183.56,99508,3,01-11-2020,99508,16,1661
5,31-03-2022,440183.56,99508,3,01-12-2020,99508,18,1726
5,31-03-2022,440183.56,99508,3,01-01-2021,99508,14,1589
5,31-03-2022,440183.56,99508,3,01-02-2021,99508,10,1484
5,31-03-2022,440183.56,99508,3,01-03-2021,99508,9,1431
5,31-03-2022,440183.56,99508,3,01-04-2021,99508,6,1441
5,31-03-2022,440183.56,99508,3,01-05-2021,99508,8,1499
5,31-03-2022,440183.56,99508,3,01-06-2021,99508,6,1374
5,31-03-2022,440183.56,99508,3,01-07-2021,99508,8,1613
5,31-03-2022,440183.56,99508,3,01-11-2021,99508,10,1590
5,31-03-2022,440183.56,99508,3,01-12-2021,99508,9,1523
5,31-03-2022,440183.56,99508,3,01-01-2022,99508,7,1476
5,31-03-2022,440183.56,99508,3,01-07-2022,99508,10,1640
5,31-03-2022,440183.56,99508,3,01-08-2022,99508,13,1854
5,31-03-2022,440183.56,99508,3,01-09-2022,99508,15,1855
5,31-03-2022,440183.56,99508,3,01-10-2022,99508,10,1663
5,31-03-2022,440183.56,99508,3,01-11-2022,99508,11,1797
5,31-03-2022,440183.56,99508,3,01-12-2022,99508,6,1887
5,31-03-2022,440183.56,99508,3,01-01-2023,99508,8,1626
5,31-03-2022,440183.56,99508,3,01-03-2023,99508,9,1746
5,31-03-2022,440183.56,99508,3,01-04-2023,99508,11,1757
5,31-03-2022,440183.56,99508,3,01-05-2023,99508,8,1604
5,31-03-2022,440183.56,99508,3,01-07-2023,99508,9,1879
5,31-03-2022,440183.56,99508,3,01-08-2023,99508,8,1971
5,31-03-2022,440183.56,99508,3,01-09-2023,99508,17,2014
5,31-03-2022,440183.56,99508,3,01-10-2023,99508,15,2062
5,31-03-2022,440183.56,99508,3,01-11-2023,99508,14,1982
5,31-03-2022,440183.56,99508,3,01-12-2023,99508,12,1825
5,31-03-2022,440183.56,99508,3,01-01-2024,99508,9,1544
5,31-03-2022,440183.56,99508,3,01-02-2024,99508,14,1969
5,31-03-2022,440183.56,99508,3,01-03-2024,99508,11,2024
5,31-03-2022,440183.56,99508,3,01-04-2024,99508,10,1746
5,31-03-2022,440183.56,99508,3,01-05-2024,99508,13,1867
5,31-03-2022,440183.56,99508,3,01-06-2024,99508,14,1805
5,31-03-2022,440183.56,99508,3,01-07-2024,99508,8,1723
5,31-03-2022,440183.56,99508,0,30-06-2025,99508,,1245
5,31-03-2022,440183.56,99508,1,30-06-2025,99508,,1403.67
5,31-03-2022,440183.56,99508,2,30-06-2025,99508,,1671.5
5,31-03-2022,440183.56,99508,3,30-06-2025,99508,,2066.61
1,31-03-2022,122117.08,99508,4,30-06-2025,99508,,2797.5
1,31-03-2022,122117.08,99508,3,30-06-2025,99508,,2066.61
1,31-03-2022,122117.08,99508,2,30-06-2025,99508,,1671.5
1,31-03-2022,122117.08,99508,1,30-06-2025,99508,,1403.67
1,31-03-2022,122117.08,99508,0,30-06-2025,99508,,1245
1,31-03-2022,122117.08,99508,3,01-07-2024,99508,8,1723
1,31-03-2022,122117.08,99508,3,01-06-2024,99508,14,1805
1,31-03-2022,122117.08,99508,3,01-05-2024,99508,13,1867
1,31-03-2022,122117.08,99508,3,01-04-2024,99508,10,1746
1,31-03-2022,122117.08,99508,3,01-03-2024,99508,11,2024
1,31-03-2022,122117.08,99508,3,01-02-2024,99508,14,1969
1,31-03-2022,122117.08,99508,3,01-01-2024,99508,9,1544
1,31-03-2022,122117.08,99508,3,01-12-2023,99508,12,1825
1,31-03-2022,122117.08,99508,3,01-11-2023,99508,14,1982
1,31-03-2022,122117.08,99508,3,01-10-2023,99508,15,2062
1,31-03-2022,122117.08,99508,3,01-09-2023,99508,17,2014
1,31-03-2022,122117.08,99508,3,01-08-2023,99508,8,1971
1,31-03-2022,122117.08,99508,3,01-07-2023,99508,9,1879
1,31-03-2022,122117.08,99508,3,01-05-2023,99508,8,1604
1,31-03-2022,122117.08,99508,3,01-04-2023,99508,11,1757
1,31-03-2022,122117.08,99508,3,01-03-2023,99508,9,1746
1,31-03-2022,122117.08,99508,3,01-01-2023,99508,8,1626
1,31-03-2022,122117.08,99508,3,01-12-2022,99508,6,1887
1,31-03-2022,122117.08,99508,3,01-11-2022,99508,11,1797
1,31-03-2022,122117.08,99508,3,01-10-2022,99508,10,1663
1,31-03-2022,122117.08,99508,3,01-09-2022,99508,15,1855
1,31-03-2022,122117.08,99508,3,01-08-2022,99508,13,1854
1,31-03-2022,122117.08,99508,3,01-07-2022,99508,10,1640
1,31-03-2022,122117.08,99508,3,01-01-2022,99508,7,1476
1,31-03-2022,122117.08,99508,3,01-12-2021,99508,9,1523
1,31-03-2022,122117.08,99508,3,01-11-2021,99508,10,1590
1,31-03-2022,122117.08,99508,3,01-07-2021,99508,8,1613
1,31-03-2022,122117.08,99508,3,01-06-2021,99508,6,1374
1,31-03-2022,122117.08,99508,3,01-05-2021,99508,8,1499
1,31-03-2022,122117.08,99508,3,01-04-2021,99508,6,1441
1,31-03-2022,122117.08,99508,3,01-03-2021,99508,9,1431
1,31-03-2022,122117.08,99508,3,01-02-2021,99508,10,1484
1,31-03-2022,122117.08,99508,3,01-01-2021,99508,14,1589
1,31-03-2022,122117.08,99508,3,01-12-2020,99508,18,1726
1,31-03-2022,122117.08,99508,3,01-11-2020,99508,16,1661
1,31-03-2022,122117.08,99508,3,01-10-2020,99508,14,1582
1,31-03-2022,122117.08,99508,3,01-09-2020,99508,11,1622
1,31-03-2022,122117.08,99508,3,01-08-2020,99508,8,1348
1,31-03-2022,122117.08,99508,3,01-07-2020,99508,16,1373
1,31-03-2022,122117.08,99508,3,01-06-2020,99508,17,1411
1,31-03-2022,122117.08,99508,3,01-05-2020,99508,14,1513
1,31-03-2022,122117.08,99508,3,01-04-2020,99508,17,1613
1,31-03-2022,122117.08,99508,3,01-03-2020,99508,13,1669
1,31-03-2022,122117.08,99508,3,01-02-2020,99508,18,1555
1,31-03-2022,122117.08,99508,3,01-01-2020,99508,13,1452
1,31-03-2022,122117.08,99508,3,01-12-2019,99508,13,1402
1,31-03-2022,122117.08,99508,3,01-11-2019,99508,17,1443
1,31-03-2022,122117.08,99508,3,01-10-2019,99508,18,1390
1,31-03-2022,122117.08,99508,3,01-09-2019,99508,19,1505
1,31-03-2022,122117.08,99508,3,01-08-2019,99508,16,1469
1,31-03-2022,122117.08,99508,3,01-07-2019,99508,21,1492
1,31-03-2022,122117.08,99508,3,01-06-2019,99508,17,1487
1,31-03-2022,122117.08,99508,3,01-05-2019,99508,15,1363
1,31-03-2022,122117.08,99508,3,01-04-2019,99508,11,1564
1,31-03-2022,122117.08,99508,3,01-03-2019,99508,14,1591
1,31-03-2022,122117.08,99508,3,01-02-2019,99508,15,1477
1,31-03-2022,122117.08,99508,3,01-01-2019,99508,10,1383
1,31-03-2022,122117.08,99508,3,01-12-2018,99508,12,1338
1,31-03-2022,122117.08,99508,3,01-11-2018,99508,14,1420
1,31-03-2022,122117.08,99508,3,01-10-2018,99508,18,1426
1,31-03-2022,122117.08,99508,3,01-09-2018,99508,12,1433
1,31-03-2022,122117.08,99508,2,01-07-2024,99508,16,1648
1,31-03-2022,122117.08,99508,2,01-06-2024,99508,27,1661
1,31-03-2022,122117.08,99508,2,01-05-2024,99508,22,1638
1,31-03-2022,122117.08,99508,2,01-04-2024,99508,24,1637
1,31-03-2022,122117.08,99508,2,01-03-2024,99508,28,1627
1,31-03-2022,122117.08,99508,2,01-02-2024,99508,24,1546
1,31-03-2022,122117.08,99508,2,01-01-2024,99508,27,1569
1,31-03-2022,122117.08,99508,2,01-12-2023,99508,26,1608
1,31-03-2022,122117.08,99508,2,01-11-2023,99508,26,1588
1,31-03-2022,122117.08,99508,2,01-10-2023,99508,25,1632
1,31-03-2022,122117.08,99508,2,01-09-2023,99508,32,1732
1,31-03-2022,122117.08,99508,2,01-08-2023,99508,22,1797
1,31-03-2022,122117.08,99508,2,01-07-2023,99508,29,1610
1,31-03-2022,122117.08,99508,2,01-06-2023,99508,25,1504
1,31-03-2022,122117.08,99508,2,01-05-2023,99508,51,1418
1,31-03-2022,122117.08,99508,2,01-04-2023,99508,52,1431
1,31-03-2022,122117.08,99508,2,01-03-2023,99508,26,1335
1,31-03-2022,122117.08,99508,2,01-02-2023,99508,33,1339
1,31-03-2022,122117.08,99508,2,01-01-2023,99508,26,1353
1,31-03-2022,122117.08,99508,2,01-12-2022,99508,16,1475
1,31-03-2022,122117.08,99508,2,01-11-2022,99508,20,1397
1,31-03-2022,122117.08,99508,2,01-10-2022,99508,18,1466
1,31-03-2022,122117.08,99508,2,01-09-2022,99508,16,1443
1,31-03-2022,122117.08,99508,2,01-08-2022,99508,12,1501
1,31-03-2022,122117.08,99508,2,01-07-2022,99508,14,1462
1,31-03-2022,122117.08,99508,2,01-06-2022,99508,15,1538
1,31-03-2022,122117.08,99508,2,01-05-2022,99508,9,1445
1,31-03-2022,122117.08,99508,2,01-04-2022,99508,12,1408
1,31-03-2022,122117.08,99508,2,01-03-2022,99508,13,1454
1,31-03-2022,122117.08,99508,2,01-02-2022,99508,12,1281
1,31-03-2022,122117.08,99508,2,01-01-2022,99508,12,1315
1,31-03-2022,122117.08,99508,2,01-12-2021,99508,7,1389
1,31-03-2022,122117.08,99508,2,01-11-2021,99508,9,1177
1,31-03-2022,122117.08,99508,2,01-10-2021,99508,12,1241
1,31-03-2022,122117.08,99508,2,01-09-2021,99508,17,1182
1,31-03-2022,122117.08,99508,2,01-08-2021,99508,10,1355
1,31-03-2022,122117.08,99508,2,01-06-2021,99508,11,1460
1,31-03-2022,122117.08,99508,2,01-05-2021,99508,11,1360
1,31-03-2022,122117.08,99508,2,01-04-2021,99508,16,1278
1,31-03-2022,122117.08,99508,2,01-03-2021,99508,20,1245
1,31-03-2022,122117.08,99508,2,01-02-2021,99508,17,1130
1,31-03-2022,122117.08,99508,2,01-01-2021,99508,10,1246
1,31-03-2022,122117.08,99508,2,01-12-2020,99508,6,1150
1,31-03-2022,122117.08,99508,2,01-11-2020,99508,15,1094
1,31-03-2022,122117.08,99508,2,01-10-2020,99508,29,1157
1,31-03-2022,122117.08,99508,2,01-09-2020,99508,18,1165
1,31-03-2022,122117.08,99508,2,01-08-2020,99508,10,1076
1,31-03-2022,122117.08,99508,2,01-07-2020,99508,12,1124
1,31-03-2022,122117.08,99508,2,01-06-2020,99508,18,1044
1,31-03-2022,122117.08,99508,2,01-05-2020,99508,19,1154
1,31-03-2022,122117.08,99508,2,01-04-2020,99508,19,1131
1,31-03-2022,122117.08,99508,2,01-03-2020,99508,28,1085
1,31-03-2022,122117.08,99508,2,01-02-2020,99508,29,1052
1,31-03-2022,122117.08,99508,2,01-01-2020,99508,29,1058
1,31-03-2022,122117.08,99508,2,01-12-2019,99508,32,1048
1,31-03-2022,122117.08,99508,2,01-11-2019,99508,30,1025
1,31-03-2022,122117.08,99508,2,01-10-2019,99508,31,1079
1,31-03-2022,122117.08,99508,2,01-09-2019,99508,31,1128
1,31-03-2022,122117.08,99508,2,01-08-2019,99508,39,1101
1,31-03-2022,122117.08,99508,2,01-07-2019,99508,34,1073
1,31-03-2022,122117.08,99508,2,01-06-2019,99508,30,1108
1,31-03-2022,122117.08,99508,2,01-05-2019,99508,25,1110
1,31-03-2022,122117.08,99508,2,01-04-2019,99508,18,1084
1,31-03-2022,122117.08,99508,2,01-03-2019,99508,27,1028
1,31-03-2022,122117.08,99508,2,01-02-2019,99508,23,1072
1,31-03-2022,122117.08,99508,2,01-01-2019,99508,32,1053
1,31-03-2022,122117.08,99508,2,01-12-2018,99508,34,1029
1,31-03-2022,122117.08,99508,2,01-11-2018,99508,26,1079
1,31-03-2022,122117.08,99508,2,01-10-2018,99508,21,1147
1,31-03-2022,122117.08,99508,2,01-09-2018,99508,24,1117
1,31-03-2022,122117.08,99508,2,01-08-2018,99508,20,1142
1,31-03-2022,122117.08,99508,2,01-07-2018,99508,13,996
1,31-03-2022,122117.08,99508,2,01-06-2018,99508,17,965
1,31-03-2022,122117.08,99508,1,01-07-2024,99508,17,1281
1,31-03-2022,122117.08,99508,1,01-06-2024,99508,27,1358
1,31-03-2022,122117.08,99508,1,01-05-2024,99508,21,1498
1,31-03-2022,122117.08,99508,1,01-04-2024,99508,17,1642
1,31-03-2022,122117.08,99508,1,01-03-2024,99508,20,1510
1,31-03-2022,122117.08,99508,1,01-02-2024,99508,21,1415
1,31-03-2022,122117.08,99508,1,01-01-2024,99508,16,1553
1,31-03-2022,122117.08,99508,1,01-12-2023,99508,19,1533
1,31-03-2022,122117.08,99508,1,01-11-2023,99508,23,1523
1,31-03-2022,122117.08,99508,1,01-10-2023,99508,13,1532
1,31-03-2022,122117.08,99508,1,01-09-2023,99508,8,1472
1,31-03-2022,122117.08,99508,1,01-08-2023,99508,16,1295
1,31-03-2022,122117.08,99508,1,01-07-2023,99508,22,1303
1,31-03-2022,122117.08,99508,1,01-06-2023,99508,22,1443
1,31-03-2022,122117.08,99508,1,01-05-2023,99508,49,1195
1,31-03-2022,122117.08,99508,1,01-04-2023,99508,45,1289
1,31-03-2022,122117.08,99508,1,01-03-2023,99508,20,1319
1,31-03-2022,122117.08,99508,1,01-02-2023,99508,17,1209
1,31-03-2022,122117.08,99508,1,01-01-2023,99508,19,1267
1,31-03-2022,122117.08,99508,1,01-12-2022,99508,12,1316
1,31-03-2022,122117.08,99508,1,01-11-2022,99508,20,1356
1,31-03-2022,122117.08,99508,1,01-10-2022,99508,13,1353
1,31-03-2022,122117.08,99508,1,01-09-2022,99508,14,1414
1,31-03-2022,122117.08,99508,1,01-08-2022,99508,10,1576
1,31-03-2022,122117.08,99508,1,01-07-2022,99508,13,1317
1,31-03-2022,122117.08,99508,1,01-06-2022,99508,9,1354
1,31-03-2022,122117.08,99508,1,01-05-2022,99508,8,1310
1,31-03-2022,122117.08,99508,1,01-03-2022,99508,11,1268
1,31-03-2022,122117.08,99508,1,01-12-2021,99508,8,1097
1,31-03-2022,122117.08,99508,1,01-11-2021,99508,10,1128
1,31-03-2022,122117.08,99508,1,01-07-2021,99508,6,1241
1,31-03-2022,122117.08,99508,1,01-04-2021,99508,7,1202
1,31-03-2022,122117.08,99508,1,01-03-2021,99508,10,987
1,31-03-2022,122117.08,99508,1,01-02-2021,99508,15,1006
1,31-03-2022,122117.08,99508,1,01-01-2021,99508,11,938
1,31-03-2022,122117.08,99508,1,01-12-2020,99508,9,1001
1,31-03-2022,122117.08,99508,1,01-11-2020,99508,16,1018
1,31-03-2022,122117.08,99508,1,01-10-2020,99508,17,960
1,31-03-2022,122117.08,99508,1,01-09-2020,99508,6,908
1,31-03-2022,122117.08,99508,1,01-08-2020,99508,9,898
1,31-03-2022,122117.08,99508,1,01-06-2020,99508,7,881
1,31-03-2022,122117.08,99508,1,01-05-2020,99508,6,924
1,31-03-2022,122117.08,99508,1,01-04-2020,99508,7,956
1,31-03-2022,122117.08,99508,1,01-03-2020,99508,8,948
1,31-03-2022,122117.08,99508,1,01-02-2020,99508,7,924
1,31-03-2022,122117.08,99508,1,01-01-2020,99508,6,898
1,31-03-2022,122117.08,99508,1,01-12-2019,99508,15,854
1,31-03-2022,122117.08,99508,1,01-11-2019,99508,15,852
1,31-03-2022,122117.08,99508,1,01-10-2019,99508,20,809
1,31-03-2022,122117.08,99508,1,01-09-2019,99508,25,823
1,31-03-2022,122117.08,99508,1,01-08-2019,99508,25,887
1,31-03-2022,122117.08,99508,1,01-07-2019,99508,26,938
1,31-03-2022,122117.08,99508,1,01-06-2019,99508,26,889
1,31-03-2022,122117.08,99508,1,01-05-2019,99508,31,858
1,31-03-2022,122117.08,99508,1,01-04-2019,99508,21,854
1,31-03-2022,122117.08,99508,1,01-03-2019,99508,19,871
1,31-03-2022,122117.08,99508,1,01-02-2019,99508,18,857
1,31-03-2022,122117.08,99508,1,01-01-2019,99508,23,816
1,31-03-2022,122117.08,99508,1,01-12-2018,99508,23,841
1,31-03-2022,122117.08,99508,1,01-11-2018,99508,14,882
1,31-03-2022,122117.08,99508,1,01-10-2018,99508,18,887
1,31-03-2022,122117.08,99508,1,01-09-2018,99508,16,901
1,31-03-2022,122117.08,99508,1,01-08-2018,99508,13,895
